Year,Birth Order,All ages,Under 15,15-19,15-17,18-19,15,16,17,18,19,20-24,25-29,30-34,35-39,40-44,45-49,50-54
1965,Total,3760358,7768,590894,,,,,,,,1337350,925732,529376,282908,81716,4614,
1965,1st Born,1157386,7434,432228,,,,,,,,515740,140369,40536,16784,4098,198,
1965,2nd Born,909822,312,124356,,,,,,,,448538,229946,74092,26326,6000,252,
1965,3rd Born,646022,12,27602,,,,,,,,225774,220574,109996,43848,9802,414,
1965,4th Born,415802,2,5272,,,,,,,,93788,152724,102938,48718,11638,522,
1965,5th Born,248474,0,746,,,,,,,,35168,85028,73926,41588,11464,554,
1965,6th Born,147232,0,114,,,,,,,,11730,45670,48904,31072,9222,512,
1965,7th Born,87604,0,34,,,,,,,,3616,23080,31346,22060,7098,370,
1965,8th child and over,142284,0,28,,,,,,,,1326,18652,46598,51888,22006,1786,
1965,Not Stated,5732,8,514,,,,,,,,1670,1682,1040,624,188,6,
1970,Total,3731386,11752,644708,,,,,,,,1418874,994904,427806,180244,49952,3146,
1970,1st Born,1430690,10932,498388,,,,,,,,652530,212102,42404,11704,2442,176,
1970,2nd Born,1013394,442,112838,,,,,,,,483980,314630,77948,19524,3852,180,
1970,3rd Born,573016,82,19366,,,,,,,,180372,238544,99702,28924,5742,284,
1970,4th Born,301610,32,3014,,,,,,,,57928,121118,80750,31304,7094,370,
1970,5th Born,159634,0,506,,,,,,,,17826,55604,52000,26580,6796,322,
1970,6th Born,86318,0,112,,,,,,,,5356,24792,31062,19042,5606,348,
1970,7th Born,48856,0,30,,,,,,,,1572,10894,17938,13650,4502,270,
1970,8th child and over,75048,0,58,,,,,,,,0,7914,22980,28408,13624,1176,
1970,Not Stated,42830,264,10396,,,,,,,,18422,9306,3022,1108,294,18,
1975,Total,3144198,12642,582238,,,,,,,,1093676,936786,375500,115409,26319,1628,
1975,1st Born,1319126,11976,451586,,,,,,,,516528,269688,56677,10901,1671,99,
1975,2nd Born,985726,296,103893,,,,,,,,397647,357796,105598,17918,2468,110,
1975,3rd Born,441404,13,14901,,,,,,,,123406,185688,93042,21253,2978,123,
1975,4th Born,183925,3,1760,,,,,,,,32180,71366,55614,19461,3405,136,
1975,5th Born,82148,0,208,,,,,,,,7835,26682,28790,14916,3541,176,
1975,6th Born,40918,0,22,,,,,,,,1815,10165,15346,10569,2850,151,
1975,7th Born,22163,0,13,,,,,,,,522,3902,8286,6946,2333,161,
1975,8th child and over,31464,0,36,,,,,,,,257,2441,8681,12513,6875,661,
1975,Not Stated,37324,354,9819,,,,,,,,13486,9058,3466,932,198,11,
1980,Total,3612258,10169,552161,,,,,,,,1226200,1108291,550354,140793,23090,1200,
1980,1st Born,1545604,9657,425676,,,,,,,,605183,371859,112964,18241,1964,60,
1980,2nd Born,1144367,256,100966,,,,,,,,420250,408118,182434,29597,2667,79,
1980,3rd Born,537393,13,15816,,,,,,,,142749,209311,134551,31649,3206,98,
1980,4th Born,202271,6,2105,,,,,,,,36577,73277,63606,23026,3536,139,
1980,5th Born,78965,0,263,,,,,,,,8633,24479,27958,14515,2975,142,
1980,6th Born,35146,0,31,,,,,,,,1987,8629,12917,9118,2343,121,
1980,7th Born,17160,0,6,,,,,,,,457,2951,6380,5485,1764,117,
1980,8th child and over,20592,0,18,,,,,,,,194,1622,5641,8198,4482,437,
1980,Not Stated,30760,237,7281,,,,,,,,10170,8045,3903,964,153,7,
1985,Total,3760561,10220,467485,,,,,,,,1141320,1201350,696354,214336,28334,1162,
1985,1st Born,1554788,9848,359272,,,,,,,,552974,418658,170686,39447,3804,99,
1985,2nd Born,1242164,265,87291,,,,,,,,394048,445605,249325,60600,4926,104,
1985,3rd Born,584514,13,15513,,,,,,,,139481,217893,156192,50013,5301,108,
1985,4th Born,214427,1,2101,,,,,,,,36985,74849,66994,29053,4282,162,
1985,5th Born,78494,0,283,,,,,,,,8979,24361,26881,14830,3029,131,
1985,6th Born,32638,0,27,,,,,,,,2102,8261,11942,8045,2142,119,
1985,7th Born,15236,0,8,,,,,,,,495,2966,5421,4671,1560,115,
1985,8th child and over,15737,0,14,,,,,,,,158,1472,4484,6190,3100,319,
1985,Not Stated,22563,93,2976,,,,,,,,6098,7285,4429,1487,190,5,
1990,Total,4158212,11657,521826,183327,338499,,,,,,1093730,1277108,886063,317583,48607,1638,
1990,1st Born,1689118,11132,390768,155117,235651,,,,,,515455,465458,230612,66541,8933,219,
1990,2nd Born,1330852,435,103062,24014,79048,,,,,,360921,466156,311635,96875,11544,224,
1990,3rd Born,678709,14,21293,2978,18315,,,,,,148625,228572,196559,73514,9900,232,
1990,4th Born,261277,4,3562,272,3290,,,,,,45958,84001,82498,38384,6661,209,
1990,5th Born,97196,0,491,24,467,,,,,,12513,28819,32535,18674,4009,155,
1990,6th Born,39342,0,63,6,57,,,,,,3209,10120,14051,9322,2461,116,
1990,7th Born,17453,0,12,0,11,,,,,,790,3747,6235,5024,1530,115,
1990,8th child and over,17708,0,6,0,6,,,,,,328,2039,5273,6615,3110,337,
1990,Not Stated,26557,72,2569,915,1654,,,,,,5931,8196,6665,2634,459,31,
2000,Total,4058814,8519,468990,,,21845,48581,86783,132786,178995,1017806,1087547,929278,452057,90013,4349,255
2000,1st Born,1622404,8310,366615,,,20798,44420,74038,103233,124126,466149,393468,267432,100334,18959,1053,84
2000,2nd Born,1312687,147,84026,,,873,3601,11188,24891,43473,349689,372968,333728,146424,24624,1028,53
2000,3rd Born,676597,6,13977,,,39,241,1060,3626,9011,143421,200351,193046,106281,18748,725,42
2000,4th Born,259974,1,1790,,,3,17,74,341,1355,41223,75749,77892,51367,11448,474,30
2000,5th Born,95200,1,191,,,2,2,3,30,154,10217,26245,29860,22208,6160,306,12
2000,6th Born,38674,0,28,,,0,0,2,8,18,2442,9281,12595,10701,3429,192,6
2000,7th Born,17365,0,6,,,0,0,0,1,5,555,3330,5601,5578,2151,134,10
2000,8th child and over,18342,0,6,,,0,0,1,4,1,217,1753,5001,6991,3953,403,18
2000,Not Stated,17571,54,2351,,,130,300,417,652,852,3893,4402,4123,2173,541,34,0
2001,Total,4025933,7781,445944,,,20150,45367,79807,126361,174259,1021627,1058265,942697,451723,92813,4844,239
2001,1st Born,1594954,7614,349743,,,19268,41472,68241,98653,122109,468447,376247,271596,100701,19380,1154,72
2001,2nd Born,1308748,132,79446,,,757,3453,10196,23448,41592,351949,363743,340023,146291,25938,1164,62
2001,3rd Born,675748,4,12958,,,22,212,929,3317,8478,143255,198094,194844,106196,19540,813,44
2001,4th Born,263242,3,1692,,,1,12,63,351,1265,41418,76435,79868,51488,11775,534,29
2001,5th Born,95640,0,190,,,5,0,7,41,137,10054,26216,30068,22491,6250,355,16
2001,6th Born,38436,0,17,,,0,0,0,5,12,2330,9063,12686,10556,3576,200,8
2001,7th Born,17216,0,4,,,0,1,0,0,3,518,3262,5733,5485,2064,149,1
2001,8th child and over,18161,0,2,,,0,0,0,0,2,176,1713,4913,6980,3929,442,6
2001,Not Stated,13788,28,1892,,,97,217,371,546,661,3480,3492,2966,1535,361,33,1
2002,Total,4021726,7315,425493,,,18703,43147,76881,118651,168111,1022106,1060391,951219,453927,95788,5224,263
2002,1st Born,1594921,7149,336061,,,17909,39736,66132,93489,118795,472976,378647,276110,102180,20433,1302,63
2002,2nd Born,1306786,145,74552,,,717,3100,9611,21518,39606,349692,362440,342782,148922,26902,1284,67
2002,3rd Born,675270,2,12118,,,40,184,881,3015,7998,142240,199106,195416,105468,19991,884,45
2002,4th Born,264263,1,1470,,,2,13,56,289,1110,41554,76926,80687,51192,11818,584,31
2002,5th Born,95922,0,183,,,0,1,9,36,137,10126,26541,30295,22007,6410,333,27
2002,6th Born,38759,0,24,,,1,0,2,4,17,2283,9264,12909,10468,3593,211,7
2002,7th Born,17481,0,5,,,0,0,0,1,4,506,3230,5817,5469,2268,178,8
2002,8th child and over,18102,0,2,,,0,0,0,0,2,203,1661,4897,6906,4002,418,13
2002,Not Stated,10222,18,1078,,,34,113,190,299,442,2526,2576,2306,1315,371,30,2
2003,Total,4089950,6661,414580,,,18238,41344,74802,117750,162446,1032305,1086366,975546,467642,101005,5522,323
2003,1st Born,1633987,6511,330160,,,17520,38152,64671,93595,116222,481624,394295,288323,109377,22212,1391,94
2003,2nd Born,1320477,124,70554,,,627,2895,9100,20621,37311,351903,366504,348224,152914,28781,1400,73
2003,3rd Born,684296,4,11224,,,28,165,769,2878,7384,142104,202610,198580,107847,20956,924,47
2003,4th Born,267683,1,1322,,,5,12,56,269,980,40751,78656,82663,51291,12379,582,38
2003,5th Born,97308,1,162,,,1,1,5,37,118,10037,27041,31136,21997,6527,383,24
2003,6th Born,38816,0,22,,,1,0,1,5,15,2223,9194,13040,10411,3659,249,18
2003,7th Born,17347,0,4,,,0,1,0,3,0,501,3327,5784,5455,2113,155,8
2003,8th child and over,18081,0,7,,,0,0,0,2,5,181,1690,5083,6745,3945,412,18
2003,Not Stated,11955,20,1125,,,56,118,200,340,411,2981,3049,2713,1605,433,26,3
2004,Total,4112052,6781,415262,,,18274,41860,73846,117237,164045,1034454,1104485,965663,475606,103679,5748,374
2004,1st Born,1630921,6636,330147,,,17491,38561,63783,93131,117181,483752,395784,279884,110418,22721,1472,107
2004,2nd Born,1319426,109,70467,,,668,2888,8781,20514,37616,350561,370470,341556,155638,29157,1370,98
2004,3rd Born,693932,5,11025,,,20,167,792,2693,7353,141967,208136,200118,109881,21751,983,66
2004,4th Born,273589,0,1320,,,6,15,62,269,968,40870,82484,83206,52306,12720,642,41
2004,5th Born,99744,0,157,,,1,2,7,24,123,9943,28051,32151,22276,6774,371,21
2004,6th Born,39736,0,20,,,0,0,1,4,15,2200,9640,13373,10494,3753,247,9
2004,7th Born,17856,0,5,,,0,1,0,1,3,483,3426,6164,5440,2163,166,9
2004,8th child and over,18215,0,3,,,0,0,0,0,3,218,1732,4962,6824,4007,453,16
2004,Not Stated,18633,31,2118,,,88,226,420,601,783,4460,4762,4249,2329,633,44,7
2005,Total,4138349,6722,414593,,,18249,41064,73878,116476,164926,1040388,1131596,950691,483156,104667,6119,417
2005,1st Born,1637953,6592,331486,,,17499,37947,64202,92998,118840,492754,402493,269639,110628,22787,1453,121
2005,2nd Born,1326598,101,69170,,,642,2760,8577,19997,37194,350216,379935,336746,159318,29433,1575,104
2005,3rd Born,699661,5,10773,,,34,161,759,2683,7136,141174,214667,198404,111535,21969,1065,69
2005,4th Born,278310,1,1272,,,4,11,61,264,932,39728,85315,84807,53492,12974,668,53
2005,5th Born,101738,0,161,,,1,3,10,30,117,9627,29570,32405,22715,6798,437,25
2005,6th Born,40585,0,22,,,0,1,0,7,14,2137,9955,13491,10819,3901,247,13
2005,7th Born,17840,0,8,,,0,0,1,1,6,429,3387,6227,5467,2148,165,9
2005,8th child and over,18171,0,4,,,0,0,1,0,3,186,1740,4935,6801,4030,455,20
2005,Not Stated,17493,23,1697,,,69,181,267,496,684,4137,4534,4037,2381,627,54,3
2006,Total,4265555,6396,435436,,,18403,43108,77432,123494,172999,1080437,1181899,950258,498616,105539,6480,494
2006,1st Born,1696989,6245,348483,,,17670,39792,67077,98677,125267,518540,418897,267168,113371,22559,1599,127
2006,2nd Born,1354414,100,72535,,,627,2920,9153,21242,38593,359744,394295,332686,163449,29859,1606,140
2006,3rd Born,716670,5,10916,,,15,165,773,2746,7217,143499,225426,198134,115342,22161,1099,88
2006,4th Born,288768,0,1248,,,2,13,64,232,937,40472,90370,87158,55551,13200,716,53
2006,5th Born,105832,0,144,,,2,0,5,19,118,9814,30802,33817,23970,6824,431,30
2006,6th Born,42064,0,27,,,0,1,3,6,17,2024,10449,14234,11137,3882,296,15
2006,7th Born,18448,0,5,,,0,0,0,2,3,441,3449,6403,5703,2243,188,16
2006,8th child and over,18674,0,5,,,0,0,0,0,5,271,1868,5111,6863,4042,491,23
2006,Not Stated,23696,46,2073,,,87,217,357,570,842,5632,6343,5547,3230,769,54,2
2007,Total,4316233,6195,444899,,,18449,43267,78850,127034,177299,1082354,1208408,961931,499914,105179,6839,514
2007,1st Born,1725699,6066,356840,,,17741,40038,68472,101545,129044,523849,431779,270072,112859,22355,1731,148
2007,2nd Born,1363190,98,73875,,,631,2919,9295,21839,39191,359519,399810,334570,163821,29708,1668,121
2007,3rd Born,722461,2,10853,,,22,150,711,2817,7153,141813,230469,200898,114876,22245,1217,88
2007,4th Born,293941,0,1300,,,3,10,50,247,990,39836,92456,89742,56647,13117,787,56
2007,5th Born,108771,0,147,,,1,2,6,26,112,9418,31767,35282,24639,7010,479,29
2007,6th Born,43453,0,22,,,0,1,2,2,17,2075,10763,14930,11498,3873,270,22
2007,7th Born,18914,0,5,,,0,0,0,1,4,467,3735,6500,5730,2282,183,12
2007,8th child and over,18842,0,2,,,0,0,0,1,1,256,1853,5182,7128,3934,455,32
2007,Not Stated,20962,29,1855,,,51,147,314,556,787,5121,5776,4755,2716,655,49,6
2008,Total,4247694,5764,434758,,,17093,41540,77031,125010,174084,1052184,1195774,956716,488875,105973,7109,541
2008,1st Born,1703921,5632,349265,,,16435,38509,67000,100741,126580,512135,431311,270318,110126,23106,1863,165
2008,2nd Born,1330540,81,71033,,,536,2669,8783,20588,38457,347407,393748,328150,158523,29757,1714,127
2008,3rd Born,705117,6,10581,,,26,131,739,2668,7017,135639,223881,199111,112517,22012,1281,89
2008,4th Born,291351,0,1211,,,3,10,52,269,877,38614,91531,90135,55690,13318,789,63
2008,5th Born,108138,0,134,,,0,2,11,22,99,9211,31633,35771,24073,6804,475,37
2008,6th Born,43751,0,17,,,0,0,3,3,11,1988,10945,15145,11438,3897,302,19
2008,7th Born,19314,0,11,,,0,1,3,4,3,409,3642,6842,5975,2264,160,11
2008,8th child and over,18986,0,13,,,0,0,2,6,5,250,1811,5305,7136,4001,448,22
2008,Not Stated,26576,45,2493,,,93,218,438,709,1035,6531,7272,5939,3397,814,77,8
2009,Total,4130665,5029,409802,,,15641,37802,70804,117444,168111,1005982,1166787,955246,474103,105827,7320,569
2009,1st Born,1660231,4920,330500,,,15026,35086,61931,94841,123616,493851,426362,272219,106971,23330,1906,172
2009,2nd Born,1291074,70,65700,,,497,2388,7737,19168,35910,330327,383678,326908,152565,29803,1888,135
2009,3rd Born,679135,2,9736,,,20,102,649,2465,6500,127290,214724,196272,107931,21851,1242,87
2009,4th Born,284086,1,1167,,,0,9,54,241,863,36621,87584,90349,54420,13078,809,57
2009,5th Born,107131,0,118,,,0,1,6,24,87,8634,30879,35712,24270,7018,458,42
2009,6th Born,43743,0,18,,,0,3,4,1,10,1907,10799,15443,11440,3813,300,23
2009,7th Born,19385,0,8,,,0,0,0,4,4,417,3661,6993,5849,2237,203,17
2009,8th child and over,19308,0,6,,,0,0,0,1,5,236,1806,5446,7457,3880,453,24
2009,Not Stated,26572,36,2549,,,98,213,423,699,1116,6699,7294,5904,3200,817,61,12
2010,Total,3999386,4497,367678,,,13475,33362,62336,104052,154453,951688,1133713,962170,464870,107045,7154,571
2010,1st Born,1603832,4372,298098,,,12971,31116,54836,84632,114543,472286,420062,277901,105097,23941,1903,172
2010,2nd Born,1249557,74,57206,,,386,1918,6457,16355,32090,309386,372136,329023,149738,30042,1834,118
2010,3rd Born,655249,7,8397,,,13,69,538,1990,5787,118889,204980,195041,104671,21941,1219,104
2010,4th Born,274423,2,983,,,3,8,33,202,737,33529,83520,89583,53063,12910,767,66
2010,5th Born,105169,0,147,,,1,3,11,20,112,8019,29602,35850,23923,7124,469,35
2010,6th Born,43235,0,13,,,1,0,1,7,4,1770,10264,15513,11488,3901,259,27
2010,7th Born,19128,0,4,,,0,0,0,1,3,385,3458,7007,5885,2210,165,14
2010,8th child and over,19693,0,11,,,0,0,2,3,6,272,1863,5688,7317,4036,477,29
2010,Not Stated,29100,42,2819,,,100,248,458,842,1171,7152,7828,6564,3688,940,61,6
2011,Total,3953590,3974,329772,,,11739,29072,54727,92625,141609,925200,1127583,986682,463849,108920,7025,585
2011,1st Born,1578184,3874,269098,,,11335,27253,48506,76038,105966,463240,423325,287855,104481,24246,1894,171
2011,2nd Born,1239690,64,50349,,,314,1555,5386,14079,29015,300457,369858,337298,149282,30463,1771,148
2011,3rd Born,648351,8,7234,,,17,71,434,1697,5015,113431,201258,198493,104025,22615,1193,94
2011,4th Born,272058,2,762,,,1,4,27,156,574,31731,81580,90414,53341,13459,710,59
2011,5th Born,104355,0,93,,,0,3,8,16,66,7539,28408,36614,24001,7177,464,59
2011,6th Born,43121,0,16,,,0,0,3,3,10,1668,9862,15755,11588,3920,294,18
2011,7th Born,19464,0,8,,,0,0,0,4,4,359,3413,7269,6027,2192,186,10
2011,8th child and over,19945,0,6,,,0,0,1,1,4,349,1899,5815,7523,3914,423,16
2011,Not Stated,28422,26,2206,,,72,186,362,631,955,6426,7980,7169,3581,934,90,10
2012,Total,3952841,3672,305388,,,10908,26278,49237,85310,133655,916811,1123900,1013416,472318,109579,7157,600
2012,1st Born,1570976,3578,251022,,,10570,24700,43864,70517,101371,461553,421704,299857,106892,24251,1952,167
2012,2nd Born,1245437,60,45526,,,267,1360,4664,12672,26563,298113,369985,346802,152075,30909,1808,159
2012,3rd Born,650611,8,6382,,,14,66,392,1514,4396,111112,202064,201910,105400,22519,1123,93
2012,4th Born,275816,7,745,,,3,5,33,142,562,31371,81497,92913,54580,13796,835,72
2012,5th Born,106076,1,82,,,1,0,5,14,62,7464,28240,37567,24944,7256,479,43
2012,6th Born,43865,0,17,,,0,1,3,3,10,1573,9670,16414,11943,3968,252,28
2012,7th Born,19887,0,11,,,0,0,1,6,4,371,3390,7381,6348,2193,183,10
2012,8th child and over,20259,0,11,,,0,0,0,1,10,304,1829,5834,7744,4047,469,21
2012,Not Stated,19914,18,1592,,,53,146,275,441,677,4950,5521,4738,2392,640,56,7
2013,Total,3932181,3098,273105,,,9424,22534,42862,76140,122145,896745,1120777,1036927,483873,109484,7495,677
2013,1st Born,1546163,3028,225423,,,9149,21273,38414,63391,93196,453455,419528,308941,109278,24140,2149,221
2013,2nd Born,1244087,51,40286,,,217,1114,3923,11022,24010,291449,369330,354088,155962,30822,1939,160
2013,3rd Born,653641,2,5534,,,14,67,323,1257,3873,108139,202248,206209,107926,22324,1169,90
2013,4th Born,276565,1,635,,,5,8,18,115,489,29931,81232,94671,55625,13669,727,74
2013,5th Born,108047,0,83,,,3,0,4,21,55,7285,28421,38464,25793,7454,509,38
2013,6th Born,44148,0,12,,,0,0,2,2,8,1611,9655,16266,12381,3886,298,39
2013,7th Born,20293,0,7,,,0,0,3,0,4,341,3301,7479,6552,2408,192,13
2013,8th child and over,20722,0,8,,,0,0,1,1,6,252,1790,5990,8037,4157,455,33
2013,Not Stated,18515,16,1117,,,36,72,174,331,504,4282,5272,4819,2319,624,57,9
2014,Total,3988076,2769,249078,,,8085,20158,38548,69374,112913,882567,1145392,1081058,508748,110021,7700,743
2014,1st Born,1550475,2732,205747,,,7805,18978,34513,57753,86698,445523,428762,326391,114972,23941,2169,238
2014,2nd Born,1267334,27,36756,,,231,1022,3567,10124,21812,288162,377231,368097,164656,30323,1902,180
2014,3rd Born,667446,2,4846,,,11,60,273,1062,3440,106207,207163,212936,112089,22804,1279,120
2014,4th Born,283953,1,527,,,1,14,19,122,371,29304,83017,97686,58565,13949,824,80
2014,5th Born,110565,0,87,,,1,4,12,17,53,7075,28663,39525,27044,7622,500,49
2014,6th Born,46045,0,16,,,0,2,2,1,11,1507,9713,17038,13233,4185,332,21
2014,7th Born,20771,0,8,,,0,2,0,0,6,350,3289,7779,6775,2356,201,13
2014,8th child and over,21589,0,11,,,0,0,1,3,7,280,1819,6208,8642,4165,435,29
2014,Not Stated,19898,7,1080,,,36,76,161,292,515,4159,5735,5398,2772,676,58,13
2015,Total,3978497,2500,229715,,,7589,18430,35165,63508,105023,850509,1152311,1094693,527996,111848,8171,754
2015,1st Born,1525594,2474,190538,,,7371,17403,31540,53294,80930,431994,427498,327605,118881,23976,2396,232
2015,2nd Born,1270034,16,33353,,,187,904,3254,8916,20092,278360,381675,373560,170125,30784,1996,165
2015,3rd Born,671884,3,4405,,,4,62,231,959,3149,100438,209268,216642,116648,23048,1317,115
2015,4th Born,288766,1,481,,,3,6,22,90,360,27457,84359,99450,61592,14431,907,88
2015,5th Born,112207,0,62,,,0,0,5,12,45,6539,28778,40288,28101,7846,541,52
2015,6th Born,46100,0,9,,,0,0,1,4,4,1394,9747,17079,13422,4117,305,27
2015,7th Born,21247,0,4,,,0,1,0,1,2,324,3265,7736,7252,2436,198,32
2015,8th child and over,22245,0,10,,,0,0,2,2,6,308,1753,6279,8942,4473,447,33
2015,Not Stated,20420,6,853,,,24,54,110,230,435,3695,5968,6054,3033,737,64,10
2016,Total,3945875,2253,209809,,,6594,16419,31728,58761,96307,803978,1149122,1111042,547488,113140,8257,786
2016,1st Born,1499877,2218,174543,,,6423,15551,28495,49255,74819,411863,427388,333897,123256,24116,2343,253
2016,2nd Born,1264183,23,30009,,,142,776,2876,8271,17944,261543,381178,380872,177438,30809,2112,199
2016,3rd Born,671133,2,3892,,,6,40,210,878,2758,94055,208213,219146,120705,23614,1384,122
2016,4th Born,290028,0,443,,,0,2,27,80,334,25328,84217,101070,63461,14558,867,84
2016,5th Born,113570,0,64,,,0,0,6,14,44,5987,28691,40646,29597,8000,542,43
2016,6th Born,47474,0,16,,,0,0,4,7,5,1347,9651,17382,14271,4477,289,41
2016,7th Born,21328,0,7,,,0,0,0,5,2,284,3232,7741,7390,2466,192,16
2016,8th child and over,22422,0,11,,,0,0,0,4,7,279,1837,6012,9165,4605,487,26
2016,Not Stated,15860,10,824,,,23,50,110,247,394,3292,4715,4276,2205,495,41,2
2017,Total,3855500,1917,194377,,,5592,14369,28586,54213,91617,764780,1123577,1091917,554796,114813,8483,840
2017,1st Born,1458290,1892,162356,,,5439,13613,25818,45842,71644,395927,417162,329623,124637,24049,2377,267
2017,2nd Born,1233442,22,27569,,,132,692,2534,7358,16853,247744,371313,372754,180367,31394,2081,198
2017,3rd Born,661264,1,3559,,,6,26,167,815,2545,88507,205967,215751,122336,23628,1382,133
2017,4th Born,287207,0,366,,,0,2,13,65,286,23622,83247,99818,64040,15063,954,97
2017,5th Born,113717,0,62,,,0,1,2,17,42,5473,28696,40327,30040,8460,586,73
2017,6th Born,47486,0,18,,,0,0,0,3,15,1154,9457,17233,14684,4540,376,24
2017,7th Born,21506,0,11,,,0,0,0,6,5,278,3134,7675,7633,2543,212,20
2017,8th child and over,23106,0,11,,,0,0,1,2,8,227,1834,6179,9587,4770,480,18
2017,Not Stated,9482,2,425,,,15,35,51,105,219,1848,2767,2557,1472,366,35,10
2018,Total,3791712,1736,179871,,,4953,13088,26250,50088,85492,726175,1099491,1090697,566786,117381,8616,959
2018,1st Born,1433915,1712,151440,,,4842,12458,23863,42670,67607,383388,409940,332492,127893,24364,2375,311
2018,2nd Born,1208762,16,24506,,,91,586,2196,6535,15098,231051,362863,370337,185345,32257,2154,233
2018,3rd Born,651049,1,3122,,,4,18,136,714,2250,81852,200639,214401,125246,24191,1457,140
2018,4th Born,283877,0,332,,,0,4,7,45,276,21454,81158,99793,64469,15597,957,117
2018,5th Born,111885,0,42,,,0,0,1,14,27,4966,27694,39788,30271,8481,573,70
2018,6th Born,47066,0,12,,,0,1,0,1,10,1061,9304,17144,14609,4557,343,36
2018,7th Born,21456,0,4,,,0,0,0,0,4,248,3034,7649,7646,2644,208,23
2018,8th child and over,23095,0,13,,,0,0,0,2,11,237,1695,6061,9687,4869,505,28
2018,Not Stated,10607,7,400,,,16,21,47,107,209,1918,3164,3032,1620,421,44,1
2019,Total,3747540,1787,171674,,,4725,11862,24494,47473,83120,704342,1078097,1089281,572598,120152,8536,1073
2019,1st Born,1411505,1766,144414,,,4611,11241,22220,40598,65744,375889,402394,331634,128254,24561,2263,330
2019,2nd Born,1204140,19,23727,,,107,582,2090,6148,14800,224339,357159,372628,189921,33781,2269,297
2019,3rd Born,639981,0,2871,,,0,18,123,570,2160,76855,195531,213135,125236,24817,1385,151
2019,4th Born,279212,0,275,,,1,0,4,41,229,19730,79382,98191,65016,15579,926,113
2019,5th Born,111656,0,36,,,0,1,2,7,26,4489,27375,40173,30339,8618,563,63
2019,6th Born,47504,0,9,,,0,0,3,1,5,975,9146,17331,14909,4730,356,48
2019,7th Born,21568,0,1,,,0,0,0,1,0,220,2884,7684,7828,2707,222,22
2019,8th child and over,23151,0,4,,,0,0,1,1,2,253,1712,6011,9641,4992,502,36
2019,Not Stated,8823,2,337,,,6,20,51,106,154,1592,2514,2494,1454,367,50,13
2020,Total,3613647,1765,158043,,,4711,11418,22458,43068,76388,665595,1024402,1069984,564059,120570,8234,995
2020,1st Born,1376737,1728,134277,,,4581,10885,20411,37047,61353,362475,389482,332293,129499,24592,2122,269
2020,2nd Born,1151977,29,20907,,,118,488,1894,5445,12962,208944,338152,362557,185663,33318,2119,288
2020,3rd Born,608920,4,2322,,,5,24,113,473,1707,69669,182450,206228,121844,24839,1400,164
2020,4th Born,269498,0,238,,,0,3,8,35,192,17981,74058,96671,63806,15671,954,119
2020,5th Born,107602,0,25,,,0,0,0,4,21,3972,25394,39182,29530,8842,593,64
2020,6th Born,46359,0,7,,,0,0,1,2,4,808,8424,17061,14780,4928,309,42
2020,7th Born,21214,0,1,,,0,0,0,0,1,180,2714,7477,7822,2791,213,16
2020,8th child and over,23236,0,6,,,0,0,0,3,3,212,1526,6144,9613,5220,490,25
2020,Not Stated,8104,4,260,,,7,18,31,59,145,1354,2202,2371,1502,369,34,8